author_brief,post_detail,post,post_time,author
演员、导演邓超<br>,https://m.weibo.cn/status/Gu8YpgQJz?mblogid=Gu8YpgQJz&luicode=10000011&lfid=1076035187664653,"她叫小徐，刚刚和我同班飞机上海到北京，她说原本订了你上海演唱会的票可是取消了，就推迟了回芝加哥的时间赶来北京看你今晚的演唱会。她说在纽约也听过你的演唱会，坐在第一排。她说她昨晚激动的只睡了四个小时。我问她第一次听你的歌是什么时候？她说《北斗星的爱》，一晃十年过去了，她觉得这十年你 ​​​...<a href=""/status/4271843374015961"">全文</a>",08-11,邓超
演员、导演邓超<br>,https://m.weibo.cn/status/Gu8YpgQJz?mblogid=Gu8YpgQJz&luicode=10000011&lfid=1076035187664653,"她叫小徐，刚刚和我同班飞机上海到北京，她说原本订了你上海演唱会的票可是取消了，就推迟了回芝加哥的时间赶来北京看你今晚的演唱会。她说在纽约也听过你的演唱会，坐在第一排。她说她昨晚激动的只睡了四个小时。我问她第一次听你的歌是什么时候？她说《北斗星的爱》，一晃十年过去了，她觉得这十年你 ​​​...<a href=""/status/4271843374015961"">全文</a>",08-11,邓超
演员、导演邓超<br>,https://m.weibo.cn/status/Gu0kV0Uip?mblogid=Gu0kV0Uip&luicode=10000011&lfid=1076035187664653,"<a href='/n/陈赫'>@陈赫</a> <span class=""url-icon""><img alt=""[doge]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;""/></span> ​​​",08-10,邓超
演员、导演邓超<br>,https://m.weibo.cn/status/GtAnODfin?mblogid=GtAnODfin&luicode=10000011&lfid=1076035187664653,陈赫说他的偶像是黄渤。 ​​​,08-07,邓超
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/GuMMUaORr?mblogid=GuMMUaORr&luicode=10000011&lfid=1076031293100555,买空气净化器，网站送了个小型蓝牙智能音响。Z刚才问它：你除了放歌还能做什么？它开始播放歌曲《我还能做什么》……<a href='/n/野生Z君'>@野生Z君</a> ​​​,20小时前,bless
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/GuMMUaORr?mblogid=GuMMUaORr&luicode=10000011&lfid=1076031293100555,买空气净化器，网站送了个小型蓝牙智能音响。Z刚才问它：你除了放歌还能做什么？它开始播放歌曲《我还能做什么》……<a href='/n/野生Z君'>@野生Z君</a> ​​​,20小时前,bless
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/Gutjgy6nd?mblogid=Gutjgy6nd&luicode=10000011&lfid=1076031293100555,？？？？ ​​​,08-13,bless
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/GusrBmgdB?mblogid=GusrBmgdB&luicode=10000011&lfid=1076031293100555,去买T恤，试了好几件。回家裤子脱了才发现不知道哪件的标签掉了，一直贴在屁股上。 ​​​,08-13,bless
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/GumYnoWxi?mblogid=GumYnoWxi&luicode=10000011&lfid=1076031293100555,想睡觉，懒得洗澡刷牙铺床铲屎喝水关灯脱衣服。。 ​​​,08-13,bless
漫画作者  代表作《合法同居》<br>喜欢一个人静静的拉屎。,https://m.weibo.cn/status/GuhDg60lu?mblogid=GuhDg60lu&luicode=10000011&lfid=1076031293100555,"<a  href=""https://m.weibo.cn/p/index?containerid=100808e94143603935a57b9ccf3c15c7d2a00b&extparam=%E5%90%88%E6%B3%95%E5%90%8C%E5%B1%85&luicode=10000011&lfid=1076031293100555"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/1000/8/2018/04/20/super_default.png'></span><span class=""surl-text"">合法同居</span></a> 停更番外（临时赶出来…… ​​​",08-12,bless
